eng,myn
People who have not brought a ballpoint pen may use a pencil.,ဘောပင် ပါမလာတဲ့သူတွေ ခဲတံနဲ့ဆိုလည်း ရတယ်။
"Yes, here you are.",ဟုတ်ကဲ့၊ ကောင်းပါပြီ၊ လုပ်ပါ။
Here you are.,ကောင်းပါပြီ၊ လုပ်ပါ။
"This isn't much, but please take it.",အဖိုးထိုက်တဲ့အရာ မဟုတ်ပေမဲ့ လက်ခံပေးပါ။
Thanks a lot.,ကျေးဇူးတင်ပါတယ်။
"Yes, that is true.",ဟုတ်တယ်။
How much is it?,ဘယ်လောက်လဲ။
"Well then, thank you.",ဒါဆိုရင်၊ ကူညီပေးပါ။
I am thinking of travelling to Europe with my friend.,သူငယ်ချင်းနဲ့ ဥရောပကို အလည်သွားမလားလို့ စိတ်ကူးနေတယ်။
It is on the third floor of this building.,ဒီအဆောက်အအုံရဲ့ တတိယထပ်မှာ ရှိတယ်။
How do we get to the third floor?,တတိယထပ်ကို ဘယ်လို သွားရမလဲ။
The lift is over there.,ဟိုမှာ ဓာတ်လှေခါး ရှိတယ်။
"Yes, I like it.",အေး၊ ကြိုက်ပါတယ်။
Hello?,ဟလို။
"Well then, see you again.",ဒါပဲနော်၊ နောက်မှ တွေ့မယ်။
Why?,ဘာဖြစ်လို့လဲ။
"Oh, is that so?",ဪ၊ ဟုတ်လား။
Can I give it back to you after lunch break?,နေ့ခင်း နားတဲ့အချိန်မှ ပြန်ပေးလို့ရမလား။
Excuse me a second.,တစ်ဆိတ်လောက်၊ တောင်းဆိုပါရစေ။
I am thinking of working abroad.,နိုင်ငံခြားမှာ အလုပ်လုပ်ဖို့ စိတ်ကူးနေတယ်။
"Miss, this is my mother.",ဆရာ၊ ဒါ ကျွန်တော့်ရဲ့ အမေပါ။
I'm going to take some medicine because I have a cold.,အအေးမိသွားလို့ ဆေးသောက်မယ်။
A lot of people died.,လူတွေ အများကြီး သေကုန်တယ်။
I will brush my teeth after eating.,ထမင်းစားပြီးရင် သွားတိုက်တယ်။
Ms Kimura has a very good mind.,မစ္စတာခိမုရက ဉာဏ် အရမ်း ကောင်းတယ်။
The post office is near the station.,စာတိုက်က ဘူတာဘေးမှာ ရှိတယ်။
The baggage will arrive tomorrow.,မနက်ဖန် အထုပ် ရောက်မယ်။
The train will arrive at the station.,ရထားက ဘူတာကို ရောက်တော့မယ်။
I will write my name on the envelope.,စာအိတ်မှာ နာမည်ကို ရေးလိုက်မယ်။
There is a supermarket behind the station.,ဘူတာရဲ့ အနောက်မှာ စူပါမားကက် ရှိတယ်။
I caught a cold because it was very cold yesterday.,မနေ့က အရမ်း အေးလို့ အအေးမိသွားတယ်။
"My head hurts tonight, so I will go to sleep early.",ခေါင်းကိုက်လို့ ဒီနေ့ စောစော အိပ်မယ်။
"My stomach hurts, so I will go to the hospital.",ဗိုက်နာလို့ ဆေးရုံ သွားတယ်။
I cannot eat anything because my teeth hurt.,သွားကိုက်လို့ ဘာမှ မစားနိုင်ဘူး။
I will sit on a chair and talk.,ထိုင်ခုံမှာ ထိုင်ပြီး စကားပြောမယ်။
There is nothing in the refrigerator.,ရေခဲသေတ္တာထဲမှာ ဘာမှ မရှိဘူး။
I listen to the news on the radio.,ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။
You can listen to both music and the radio on a radio cassette recorder.,ရေဒီယိုကက်ဆက်က ရေဒီယိုရော သီချင်းရော နားထောင်လို့ရတယ်။
I borrowed a pencil from Mr Matsui.,မစ္စတာမဆုအိက ခဲတံ ငှားပေးတယ်။
I will go to a real estate office next week to find a new room.,နောက်အပတ် အိမ်ခြံမြေဝန်ဆောင်မှုရုံးခန်းမှာ အိမ်ခန်းအသစ် သွားရှာမယ်။
I will clean the lobby and hallway.,အိမ်အဝင်၀နဲ့ လျှောက်လမ်းတွေကို သန့်ရှင်းရေးလုပ်တယ်။
There is a vase in the lobby.,အိမ်အဝင်၀မှာ ပန်းအိုး ထားထားတယ်။
It is very convenient because the kitchen in my new house is big.,အိမ်သစ်က မီးဖိုချောင် ကျယ်လို့ အရမ်း အဆင်ပြေတယ်။
"I eat dinner, take a bath and go to sleep.",ညစာစားပြီး၊ ရေချိုးပြီး အိပ်တယ်။
These shoes are old.,ဒီဖိနပ်က အဟောင်းပါ။
"It is far from the station to school, so I ride the bus.",ဘူတာကနေ ကျောင်းကို ဝေးလို့ ဘတ်စကား စီးတယ်။
"The new house is close to the station, so it is very convenient.",အိမ်အသစ်က ဘူတာနဲ့ နီးလို့ အရမ်း အဆင်ပြေတယ်။
Mr Matsui is wearing a white shirt.,မစ္စတာမဆုအိက အဖြူရောင်အင်္ကျီကို ဝတ်ထားတယ်။
I wear a hat when it is hot.,ပူတဲ့နေ့ဆို ဦးထုပ်ဆောင်းပြီး အပြင်ထွက်တယ်။
We take off our shoes at the entrance.,အိမ်အဝင်၀မှာ ဖိနပ်ကို ချွတ်တယ်။
I left my umbrella on the train.,ရထားပေါ်မှာ ထီး မေ့ကျန်ခဲ့တယ်။
"Yesterday, I bought a new wallet.",မနေ့က ပိုက်ဆံအိတ်အသစ် ဝယ်လိုက်တယ်။
The person wearing glasses is Mr Matsui.,ဟို မျက်မှန်တပ်ထားတဲ့လူက မစ္စတာမဆုအိပါ။
I bought a magazine at the bookstore.,စာအုပ်ဆိုင်မှာ မဂ္ဂဇင်းကို ဝယ်တယ်။
This is the second floor.,ဒီနေရာက ဒုတိယထပ်ပါ။
I will send a postcard to Mr Matsui.,မစ္စတာမဆုအိဆီကို ပို့စကတ် ပို့မယ်။
I will put a stamp on the envelope.,စာအိတ်မှာ တံဆိပ်ခေါင်း ကပ်တယ်။
There is a shirt.,ရှပ်အင်္ကျီ တစ်ထည် ရှိတယ်။
I took two pictures.,ဓာတ်ပုံ နှစ်ပုံ ရိုက်လိုက်တယ်။
The bank is open from nine in the morning to three in the afternoon.,ဘဏ်ဖွင့်ချိန်က မနက်ကိုးနာရီကနေ ညနေသုံးနာရီအထိပါ။
I will give back the money to Ms Matsui.,မစ္စတာမဆုအိကို ပိုက်ဆံ ပြန်ဆပ်မယ်။
I will give back the book to the library.,စာကြည့်တိုက်မှာ စာအုပ် ပြန်အပ်မယ်။
We put money in and push this button.,ပိုက်ဆံ ထည့်ပြီး ခလုတ်ကို နှိပ်တယ်။
I will get on bus number 15 from the station.,ဘူတာကနေ နံပါတ်ဆယ်ငါးဘတ်စကား စီးမယ်။
"This clock costs 1,500 yen.",ဒီနာရီက ယန်းထောင့်ငါးရာပါ။
"I bought a camera for 30,000 yen.",ယန်းသုံးသောင်းနဲ့ ကင်မရာ ဝယ်လိုက်တယ်။
I forgot that person's name.,အဲဒီလူရဲ့ နာမည်ကို မေ့သွားတယ်။
I will eat dinner at a restaurant today.,ဒီနေ့ စားသောက်ဆိုင်မှာ ညစာစားမယ်။
Japanese food is delicious but expensive.,ဂျပန်က အစားအသောက်တွေက စားလို့ကောင်းပေမဲ့ ဈေးကြီးတယ်။
I like both bread and rice.,ကျွန်တော် ပေါင်မုန့်ရော ထမင်းရော ကြိုက်တယ်။
I’ll eat dinner at a friend’s house this evening.,ဒီည သူငယ်ချင်းရဲ့ အိမ်မှာ ထမင်းစားမယ်။
Today I will make curry for dinner.,ဒီနေ့ ညစာအတွက် ကာရီ ချက်မယ်လို့ စိတ်ကူးထားတယ်။
Curry is Indian food.,ကာရီက အိန္ဒိယအစားအစာပါ။
I do not drink a lot of alcohol.,ကျွန်တော် အရက် သိပ် မသောက်ဘူး။
